IMDbId,keywords
tt2488496,reboot|actor-reprises-previous-role|obesity|cloning|crash-landing|remake|character-says-i-have-a-bad-feeling-about-this|sabotage|hatred|sanitation-employee|sewer-cleaner|sewage-cleaner|written-by-director|fear|female-protagonist|massacre|outer-space|desert|patricide|world-destruction|scrap-merchant|father-son-relationship|forest|snow|number-in-character's-name|mass-murder|talking-robot|blockbuster|hyperspace|violent-outburst|hologram|thirst|telepathy|village|exploding-planet|scrap-dealer|spaceship-crash|escape|mother-daughter-relationship|droid|helmet|the-force|duel|destruction-of-planet|super-weapon|star-wars|lightsaber|battle|desert-planet|gunfight|fictional-planet|soldier|rage|spaceship-wreckage|sword-fight|space-opera|female-warrior|robot|telekinesis|sequel|scavenger|abandoned-ship|masked-man|pilot|weapon-of-mass-destruction|science-fantasy|spaceship|seventh-part|resistance|map|hope|tentacled-creature|destiny|megalomaniac|crisis-of-conscience|goggles|no-opening-credits|orphan|humanoid-robot|alien-creature|humanoid-alien|starship-wreckage|r2-d2|death|shooting|produced-by-director|creature|family-drama|fictional-war|hand-to-hand-combat|violence|wilhelm-scream|returning-character-killed-off|chase|magical-power|anger|mind-control|flame-thrower|death-of-friend|death-of-father|space-battle|jedi|millennium-falcon|death-of-hero|knocked-out|jailbreak|anti-heroine|alien|wookie|starship|shot-to-death|gun|coercive-persuasion|plasma|stormtrooper|general|angry-man|angry|male-soldier|bar-scene|mon-calamari|spacecraft-cockpit|human-in-outer-space|advanced-technology|deserter|child-murders-parent|outnumbered|male-female-hug|lightsaber-battle|son-murders-father|rationing|tentacled-alien|character-repeating-someone-else's-dialogue|spit-take|arrest|world-domination|prisoner|danger|outpost|strangulation|admiral|major|midget|gang|commander|lens-flare|epic|space-western|key|junkyard|lifting-person-in-air|destruction|space-station|space-fleet|nurse|prosthetic-limb|aerial-shot|robotic-arm|unlikely-hero|rescue-mission|cellar|bartender|blizzard|eaten-alive|near-death-experience|henchman|shipwreck|asteroid-belt|ambiguous-ending|skull|air-strike|hearing-voices|electrocution|spear|mission|quicksand|power-outage|scottish-accent|binoculars|adventure-hero|quest|female-pilot|water|man-with-no-name|mind-reading|fugitive|walkie-talkie|detonator|explosive|survival|race-against-time|sun|co-pilot|good-versus-evil|dogfight|vision|woods|ambush|prisoner-of-war|heavy-rain|island|turncoat|blood|subtitled-scene|tentacle|bilingualism|elevator|murder|giant|monster|female-spy|female-soldier|brutality|mercilessness|fire|cape|tent|interrogation|flamethrower|spacecraft|torture|double-cross|betrayal|macguffin|missing-person|assassin|bounty-hunter|rescue|held-at-gunpoint|army|genetic-engineering|hostage|humor|wisecrack-humor|lieutenant|captain|kidnapping|redemption|revenge|falling-from-height|long-take|deception|bombardment|resistance-fighter|film-starts-with-text|famous-score|space-travel|coming-of-age|crossbow|laser|cannon|laser-cannon|reluctant-hero|exploding-ship|explosion|slow-motion-scene|brawl|fistfight|woman-punches-a-man|punched-in-the-face|one-against-many|woman-hits-a-man|woman-fights-a-man|chaos|one-woman-army|warp-speed|action-heroine|warrior|tough-guy|one-man-army|sword-duel|anti-hero|foot-chase|action-hero|combat|battlefield|stylized-violence|mixed-martial-arts|stabbed-through-the-chest|stabbed-in-the-chest|stabbed-in-the-shoulder|female-fighter|shot-in-the-back|shot-in-the-chest|shot-in-the-arm|shot-in-the-head|starship-bridge|father-and-son|desert-landscape|snowy-landscape|epic-battle|showdown|martial-arts|shootout|wookiee|damsel-in-distress|bar|supernatural-power|female-general|imax-version|roman-numeral-in-title|roman-numbered-sequel|planet|on-the-run|smuggler|clone-soldier|2010s|british-african|caucasian|blue-blade-lightsaber|crossguard-lightsaber|starfighter-pilot-helmet|x-wing-starfighter|flight-helmet|blaster-pistol|crashed-starship|protocol-droid|starfighter-cockpit|red-blade-lightsaber|female-starfighter-pilot|starfighter-pilot|scavenging-for-parts|battlecruiser-starship|battlecruiser|bipedal-alien|woman|f-rated|open-ended|strong-female-lead|female-hero|masked-villain|remote-detonator|character-says-may-the-force-be-with-you|seven-word-title|planetary-destruction|strong-female-character|strong-woman|food-shortage|handheld-detonator|face-slap|attack|fighter-pilot|woman-kills-a-man|courage|bravery|saga|presumed-dead|laser-gun|exploding-building|fight|opening-action-scene|tough-girl|shot-in-the-shoulder|astromech-droid|starfighter|star-destroyer|tie-fighter|jedi-knight|five-word-title|winter|surprise-ending
tt0369610,dinosaur|jurassic-park|velociraptor|experiment-gone-wrong|theme-park|disaster-film|animal-attack|island|dinosaur-theme-park|killer-dinosaur|human-versus-dinosaur|tyrannosaurus-rex|multi-monster-finale|sea-creature|pterodactyl|teenage-love|husband-wife-relationship|monster-movie|high-tech|amusement-park|englishwoman-abroad|aquarium|hot-dog-stand|gasoline|tranquilizer-dart|hotwiring|jumping-into-river|rampage|deoxyribonucleic-acid|night-vision-goggles|monorail|monster-versus-monster|animal-killing|rifle|cattle-prod|ex-navy|billionaire|helicopter|bazooka|tooth|jeep|cell-phone|forest|chase|camouflage|close-up-of-eyes|dinosaur-egg|hologram|helicopter-crash|tracking-device|pig|brother-brother-relationship|genetic-engineering|sequel|science-runs-amok|famous-score|child-in-peril|cloning|escape|scientist|manager|corporation|security-guard|chaos|geneticist|genetics|training|tourist|evacuation|woman|raptor-dinosaur|crying|child-in-danger|road-flare|kiss|fall-from-height|music-score-features-choir|score-employs-electronic-instruments|orchestral-music-score|air-raid-siren|hatching-egg|vibrating-cell-phone|dinosaur-fight|dinosaur-footprint|giant-dinosaur|suv|dinosaur-skull|winged-dinosaur|flying-dinosaur|dinosaur-attack|human-dinosaur-relationship|dinosaur-feature|verizon|hybrid-animal|fight-to-the-death|final-battle|blood-splatter|beach|action-hero|construction-site|mouse|product-placement|deus-ex-machina|moral-dilemma|pager|heart-rate-monitor|social-commentary|trainer|elevator|map|lizard|old-flame|skeleton|ambulance|river|lifting-person-in-air|boyfriend-girlfriend-relationship|search|search-and-rescue|slow-motion-scene|commander|paranoia|trailer-home|hotel|jumping-from-height|self-referential|filmed-killing|bravery|courage|unlikely-hero|tough-guy|warrior|heroism|flare|destruction|fear|survival|stabbed-in-the-chest|employee-employee-relationship|employer-employee-relationship|surveillance|laboratory|flashlight|collapsing-building|exploding-building|underwater-scene|night-vision-binoculars|night-vision|character's-point-of-view-camera-shot|museum|el-train|lasersight|death|violence|goat|creature-feature|hunting|corpse|blood-on-camera-lens|blood|hit-by-a-car|forest-fire|fire|rocket-launcher|shotgun|revolver|pistol|showdown|battle|combat|rescue-mission|mission|commando-mission|commando-unit|commando|caught-in-a-net|armory|special-forces|mercenary|soldier|near-death-experience|ferry|airplane|long-take|aerial-shot|snow|2010s|ceo|corporate-executive|reboot-of-series|explosion|exploding-body|falling-to-death|impalement|cameo|jungle|deception|betrayal|evil-scientist|knife|motorcycle|waterfall|electrocution|taser|subjective-camera|written-by-director|title-appears-in-writing|jumping-off-a-cliff|machine-gun|assault-rifle|gatling-gun|exploding-helicopter|helicopter-pilot|dripping-blood|mauling|crushed-to-death|falling-from-height|eaten-alive|teenager|costa-rica|american-abroad|nanny|sister-sister-relationship|aunt-nephew-relationship|no-opening-credits|blockbuster|final-showdown|airport|rescue|arena|shark|two-word-title|fourth-part|science|part-computer-animation|paleontology|title-spoken-by-character|surprise-ending|man-wearing-glasses|technically-a-movie|chimera|satire|swamp|african|christmas|mother-son-relationship
tt2395427,superhero|marvel-cinematic-universe|based-on-comic-book|artificial-intelligence|final-battle|hallucination|end-of-the-world|megalomaniac|science-runs-amok|bow-and-arrow|the-incredible-hulk|female-warrior|superhero-team|based-on-comic|tough-girl|action-heroine|army|robot|final-showdown|flying-fortress|floating-city|death-of-twin|self-sacrifice|motorcycle|slow-motion-scene|opening-action-scene|race-against-time|twin-brother-and-sister|evil-robot|singing-on-airplane|blockbuster|inventor|norse-god|robot-suit|sequel|surprise-ending|returning-character-killed-off|wisecrack-humor|scepter|vision|orphan|destruction|super-speed|strong-female-character|strong-female-lead|gauntlet|extraterrestrial-man|extraterrestrial-human|supervillain|flying-supervillain|electromagnetic-pulse|self-driving-car|shot-multiple-times|hover-aircraft-carrier|friendly-fire|tanker-truck-explosion|commuter-train|man-wearing-an-eyepatch|front-wheelie|semi-truck-and-trailer|spitting-out-a-tooth|punched-in-the-face-multiple-times|sonic-shock-wave|throwing-darts|cage|space-ship|dance-club|vertical-take-off|secret-passage|war-hammer|bunker|motorcycle-riding|jeep|sentient-android|sentient-robot|superhero-versus-superhero|humanoid-robot|hawkeye-the-character|war-machine-the-character|red-cape|caped-superhero|alien-superhero|black-widow-the-character|helicarrier|muscle-growth|character-turns-green|radical-transformation|flying-man|flying-superhero|falcon-the-character|vision-the-character|force-field|man-versus-machine|hit-with-a-hammer|jumping-through-a-window|bridge-collapse|talking-computer|die-hard-scenario|reference-to-odin|building-collapse|mayhem|vibranium|jumping-on-a-moving-vehicle|chopping-wood|verticle-take-off-and-landing-aircraft|epic-battle|aerial-combat|futuristic-aircraft|talking-robot|expectant-mother|pregnant-woman|expectant-father|pregnant-wife|motorcycle-chase|woman-riding-a-motorcycle|sexual-innuendo|beach|ship|train-derailment|runaway-train|aircraft|jet|large-format-camera|cocktail-drinking|cocktail-party|countryside|headphones|city|ensemble-cast|archery|hidden-door|drone|colonel|jail-cell|internet|held-at-gunpoint|branding|tattoo|teamwork|infertility|professor|ballerina|interracial-friendship|underwater-scene|humanity-in-peril|heart-ripped-out|technology|axe|heroism|gadget-car|timebomb|rampage|american-flag|barn|tractor|aircraft-carrier|evacuation|apocalypse|female-doctor|high-tech|super-computer|telekinesis|mind-control|invulnerability|montage|drunkenness|death-of-brother|regeneration|party-game|telling-a-joke|bar|party|scene-during-end-credits|chrysler-building-manhattan-new-york-city|new-york-city|africa|south-african|shipwreck|magic|orphanage|swat-team|tragic-past|armored-car|armory|church|seoul-south-korea|oslo-norway|london-england|cape|flying|lightning|missile|rocket|glowing-eyes|eye-patch|tracking-device|ambush|deception|resurrection|darwinism|back-from-the-dead|genetic-engineering|villain-turns-good|bullet-time|falling-from-height|falling-down-stairs|hostage|mission|rescue|stan-lee-cameo|cameo|bare-chested-male|training|target-practice|eastern-europe|fictional-city|shot-to-death|shot-in-the-back|shot-in-the-arm|train-accident|police-station|crushed-to-death|cut-into-pieces|torso-cut-in-half|safe-house|decapitation|severed-head|severed-arm|satellite|exploding-building|bus|exploding-truck|exploding-tank|exploding-car|exploding-body|explosion|bridge|sociopath|murder|death|violence|body-landing-on-a-car|electrocution|elevator|hit-by-a-truck|laboratory|hologram|corpse|ballroom|haunted-by-the-past|snow|forest|woods|gadgetry|gadget|revenge|human-experiment|castle|gemstone|tank|hand-to-hand-combat|brawl|fistfight|stylized-violence|shot-in-the-chest|soldier|laser-gun|laser|airplane|fighter-jet|gatling-gun|ak-47|assault-rifle|machine-gun|revolver|pistol|combat|battlefield|battle|slow-motion-action-scene|no-opening-credits|father-daughter-relationship|mother-daughter-relationship|father-son-relationship|mother-son-relationship|android|husband-wife-relationship|mercenary|spy|secret-agent|fear|flashback|fantasy-sequence|terrorist-plot|terrorist|terrorism|world-domination|german-scientist|killer-robot|robot-army|good-versus-evil|engineer|3-dimensional|costumed-hero|ceo|shield|archer|human-alien|world-war-two-veteran|ex-soldier|war-hero|robot-as-menace|arms-dealer|billionaire|female-agent|female-assassin|female-spy|warrior|tough-guy|action-hero|transformation|scientist|brother-sister-relationship|supernatural-power|super-strength|superheroine|marvel-entertainment|second-part|marvel-comics|character-name-in-title|dismemberment|space-station|techne|robot-as-pathos|character-repeating-someone-else's-dialogue|flying-car|open-ended|child-in-peril|neo-nazi|mixed-martial-arts|martial-arts|giant
tt2096673,sadness|joy|memory|running-away|emotion|anger|stealing|bus|fear|disgust|mind|hockey|childhood-memory|san-francisco-california|coming-of-age|imaginary-friend|bechdel-test-passed|broccoli|school|love|growing-up|minnesota|tomboy|f-rated|joy-versus-sadness|scene-during-end-credits|pizza|chased-by-a-dog|demolition|hockey-team-tryout|red-wagon|house-of-cards|lava|running-away-from-home|french-fries|trophy|face-paint|waking-up-from-a-nightmare|rolling-eyes|tear-on-cheek|sliding-down-a-railing|lombard-street-san-francisco|golden-gate-bridge|newborn|broccoli-pizza|ice-skating|motivational|3-dimensional|cgi-animation|iphone|breakfast-cereal|cereal-box|cereal|purple|green-hair|green|red|yellow|blue|blue-hair|bow-tie|necktie|2010s|2000s|red-square|eyes|big-eyes|nose|boyfriend|dragon|cloud|cop|police|giant|boy|chinese-food|students|student|children|kid|school-kids|kids|african-american-woman|african-american|female-teacher|schoolteacher|school-teacher|glasses|mustache|reference-to-usagi-tsukino|female-hero|flashback|reference-to-the-muppets|baby-crying|baby|bus-station|disney|apathy|homesickness|kangaroo|falling-off-a-cliff|cliff|childhood|crying|runaway|little-girl|raccoon|blonde-child|bear|cat|dolphin|magic|handbag|nightmare|sleeping|ice-hockey|honesty|train|elephant|classroom|11-year-old-girl|11-year-old|unicorn|pre-teen|tears|girl-crying|tryouts|new-house|train-of-thought|subconscious|clown|dream|moving-to-city|moving-van|first-day-of-school|computer-animation|moving|friendship|female-protagonist|big-nose|road-movie
tt2820852,car-falling-off-a-cliff|star-died-before-release|terrorist|revenge|high-rise|car-stunt|jumping-from-a-car|hand-grenade|hospital|bulletproof-vest|catfight|falling-down-stairs|death|englishman-abroad|skydiving|brother-brother-relationship|super-car|martial-arts|sequel|terrorism|mercenary|woman-wearing-a-sting-bikini|woman-wearing-a-bikini-and-high-heels|woman-wearing-a-micro-mini-skirt|kicked-in-the-crotch|bromance|surveillance|coma|assault-rifle|foot-chase|tunnel|heist|manhunt|convoy|helicopter-pilot|friendship|necklace|jumping-through-a-window|head-butt|beating|punched-in-the-chest|beer|stealing-a-car|car-through-a-window|rescue-mission|ambush|abandoned-factory|desert|amnesia|funeral|attempted-murder|maximum-security-prison|handcuffs|arrest|walkie-talkie|wedding|cemetery|forest|parachute|collapsing-building|parking-garage|bag-over-head|laptop|hostage|product-placement|near-death-experience|dominican-republic|azerbaijan|exploding-car|car-race|car-chase|police-chase|race-against-time|troubled-production|mountain|tough-girl|camera-focus-on-female-butt|los-angeles-california|tokyo-japan|held-at-gunpoint|mixed-martial-arts|2010s|futuristic-aircraft|handheld-gatling-gun|scenes-from-a-previous-film|solitary-confinement|locked-in-a-cell|shackled|building-collapse|air-to-surface-missile|breaking-out-of-a-plaster-cast|lhx-helicopter|abu-dhabi-cityscape|aerial-drone|jack-knifed-truck|sawed-off-double-barreled-shotgun|bullet-proof-vest|firefight|grenade|slow-motion|fight-between-two-women|go-go-dancer|woman-painted-gold|woman-wearing-a-red-dress|wrench|arm-cast|mascara-running|driving-off-a-cliff|belgian-ale|c-17-globemaster|air-drop|corona-beer|rappelling|humvee|head-on-collision|crucifix-pendant|upskirt|talking-to-a-grave|tokyo-night-cityscape|thumb-drive|sledge-hammer|tombstone|drag-race|motorcycle-jump|woman-wearing-a-one-piece-swimsuit|woman-in-a-bikini|terrorist-plot|helicopter-gunship|ends-with-narration|stabbed-in-the-leg|red-dress|reference-to-osama-bin-laden|sledgehammer|bare-chested-male|brother-sister-relationship|thrown-through-a-window|mini-van|close-up-of-eyes|woman-punching-a-man|murder-of-a-police-officer|blockbuster|pregnant-woman|falling-down-an-elevator-shaft|abu-dhabi|espionage|tracking-device|aerial-shot|bridge|masked-man|london-england|southern-accent|punched-in-the-face|flashback|armored-car|beach|cell-phone|husband-wife-relationship|showdown|exploding-house|ambulance|helicopter-crash|exploding-helicopter|exploding-building|exploding-truck|exploding-body|explosion|missile|drone|bus|airplane|helicopter|bomb|gadget|commando|commando-unit|military-base|computer-virus|computer-hacker|billionaire|penthouse|party|bodyguard|ex-cop|falling-from-height|hit-by-a-car|body-landing-on-a-car|car-crashing-through-a-window|mission|flying-car|government-agent|special-forces|lasersight|black-ops|gatling-gun|shootout|race-car|race-track|car-crash|police-officer-killed|stick-fight|brawl|fistfight|murder|grenade-launcher|rocket-launcher|sniper-rifle|sawed-off-shotgun|shot-to-death|shot-in-the-back|shot-in-the-chest|shotgun|machine-gun|ak-47|uzi|revolver|silencer|pistol|toy-car|terrorist-group|happy-birthday-to-you|duel|character-says-i-love-you|coming-out-of-retirement|american-abroad|kidnapping|chop-shop|cameo|subtitled-scene|macguffin|bald-man|father-daughter-relationship|parkour|microchip|flash-drive|mansion|mother-son-relationship|father-son-relationship|reverse-footage|character-repeating-someone-else's-dialogue|news-report|tough-guy|anti-hero|action-hero|dual-wield|high-tech|sunglasses|female-soldier|comic-relief|falling-through-the-floor|hand-to-hand-combat|fast-motion-scene|one-liner|violence|scene-during-opening-credits|slow-motion-scene|seventh-part|death-of-friend|number-in-title
tt2293640,minion|villain|super-villain|antarctica|queen|crown|inventor|cgi-animation|villain-not-really-dead-cliche|surviving|invented-language|almost-dead|frozen-alive|ice|giant|rocket|burned-alive|fake-death|faked-death|explosion|prehistoric-times|new-york-city-new-york|emperor|enlargement|villainess|tyrannosaurus-rex|wilhelm-scream|buckingham-palace|scene-after-end-credits|electric-guitar|snowglobe|falling-chandelier|chandelier|coronation-ceremony|coronation|rat|escape|guillotine|hanging|torture|prisoner|london-england|teddy-bear|hitchhiking|orlando-florida|convention|year-1968|vampire|pharaoh|caveman|one-word-title|abbey-road-album-cover-recreation
tt1951266,dystopia|rebellion|revolution|brainwashing|execution|death-of-sister|president|army|bomb|destruction|bow-and-arrow|medic|aid-worker|war-zone|war-crime|coughing|shaky-cam|surveillance|kiss|collapsing-building|mountain|disobeying-orders|assassination-plot|dancing|wedding|soldier|military|shaved-head|disguise|flash-forward|femme-fatale|wanted-poster|cat|white-rose|forest|woods|greenhouse|parachute|child-murder|nurse|two-way-mirror|mind-control|memory-loss|armored-car|behind-enemy-lines|airfield|aircraft|bombardment|future-war|class-differences|pirate-broadcasting|news-report|media-coverage|propaganda|cameraman|film-crew|commando-mission|commando-unit|shot-with-an-arrow|abandoned-city|hologram|map|suspense|flood|subway|subterranean|surveillance-footage|futuristic-train|tunnel|suicide-pill|strapped-to-a-bed|sign-language|mute|disintegrating-body|animal-killing|booby-trap|flamethrower|self-destruct-mechanism|spear|impalement|stabbed-in-the-back|stabbed-in-the-chest|oil|rocket-launcher|crossbow|archer|anti-war|uprising|female-soldier|reluctant-hero|female-warrior|anti-heroine|action-heroine|based-on-young-adult-novel|last-of-series|suicide-attempt|snow|death|symbol|revenge|future|battle|rebel|fight|mission|fire|love|hope|warrior|screenplay-adapted-by-author|dystopian-future|female-protagonist|f-rated|female-archer|strong-female-lead|strong-female-character|manipulation|guerilla-warfare|mass-death|filmmaker|moral-dilemma|tension|man-fights-a-woman|sewer|caught-in-a-net|brawl|public-execution|fistfight|blockade|mansion|anarchy|post-traumatic-stress-disorder|tattoo|long-take|social-decay|cargo-plane|minefield|poisoned-drink|sobbing|emaciation|epic|destiny|chosen-one|revelation|bookshelf|female-doctor|doctor|panic|danger|dark-future|capture|fugitive|death-of-loved-one|loss-of-loved-one|tragic-heroine|anti-villain|wheelchair|scientist|engineer|mercy-killing|on-the-run|museum|abandoned-building|insubordination|slow-motion-scene|photograph|tank|freedom-fighter|christ-allegory|flashlight|title-at-the-end|rocket|bullet-wound|falling-from-height|politics|letter|guard|showdown|star-died-before-release|drugged-drink|mercenary|fade-to-black|knocked-out|arena|refugee|aerial-shot|presumed-dead|false-accusation|mutant|abandoned-house|heavy-rain|palace|evacuation|innocent-person-killed|corpse|casualty-of-war|genocide|child-in-peril|hospital|repressed-memory|mother-daughter-relationship|sister-sister-relationship|military-base|warehouse|armory|bunker|airplane|cyberpunk|totalitarianism|oppression|social-commentary|fight-the-system|commander|lieutenant|corporal|dictator|filmed-killing|camcorder|commando|sole-black-character-dies-cliche|tracking-device|water|offscreen-killing|riot|rifle|train|near-death-experience|distrust|animal-attack|creature|ambush|person-on-fire|chaos|self-sacrifice|mexican-standoff|escape|rescue|held-at-gunpoint|hostage|foot-chase|chase|attack|knife|stabbed-to-death|strangulation|eye-gouging|stabbed-in-the-head|shot-in-the-arm|shot-to-death|shot-in-the-chest|shot-in-the-head|exploding-car|exploding-building|exploding-body|explosive|pistol|assault-rifle|machine-gun|double-cross|betrayal|deception|epilogue|no-opening-credits|returning-character-killed-off|teenager|coming-of-age|bravery|courage|survival|paranoia|fear|brutality|violence|murder|war-violence|gunfight|shootout|combat|battlefield|good-versus-evil|fictional-country|civil-war|coup-d'etat|fictional-war|alliance|resistance-fighter|rebel-leader|resistance|female-fighter|tough-girl|anti-hero|tough-guy|action-hero|explosion|post-apocalypse|fourth-part|sequel|death-of-child|based-on-novel|teenage-heroine|one-woman-army|death-of-cast-member
tt3659388,left-for-dead|space-habitat|astronaut|nasa|presumed-dead|stranded|alone|international-cooperation|potato|disco-music|mars|greenhouse|food-shortage|storm|space-suit|botany|mars-the-planet|planting|rover|self-surgery|trapped-in-space|scientist|communication|space-exploration-vehicle|sandstorm|spaceship-crew|solar-power|airlock|china|video-diary|fertilizer|explosion|rationing|peril|rescue|press-conference|johnson-space-center-houston-texas|spaceship|mars-rover|artificial-gravity|crucifix|surgical-staple|mutiny|human-excrement|duct-tape|habitat|outer-space|based-on-novel|strong-female-lead|moral-dilemma|saving-a-life|spacewalk|space|shaving|strong-female-character|alone-on-a-planet|science|loneliness|survival|jet-propulsion-laboratory|united-states-china-relationship|computer|ascii|eating|emaciation|starvation|friend|left-behind|botanist|rescue-mission|mars-viewed-from-space|scene-during-end-credits|pathfinder|solar-panel|stabbed-in-the-belly|sand-storm|condensation|loss-of-oxygen|escape|earth-viewed-from-space|video-recording|hope|helmet-camera|near-death-experience|race-against-time|mission-director|map|surveillance|laptop|excrement|duststorm|media-coverage|homemade-explosive|spacesuit|oxygen|mars-base|flight-to-mars|space-expedition|no-opening-credits|watching-tv|surprise-ending|starving|food|friendship|family-relationships|houston-texas|spacecraft|martian|intelligence|reference-to-iron-man|reference-to-neil-armstrong|zero-gravity|space-shuttle|bomb|revenant|bare-chested-male|bare-butt|male-rear-nudity|f-word|mission|ingenuity|evacuation|satellite|bio-dome|biosphere|planet-viewed-from-outer-space|gym|aires-v-mission|cheering-crowd|building-a-bomb|electric-razor|prepositioning|piracy|steely-eye-missile-man|set-back|rocket-explosion|resupply|vicodin|live-broadcast|hermes-spacecraft|broken-rib|nuclear-reactor|12-gs|johnson-space-center|catalyst|firecracker|weightless|sprout|nose-plug|human-feces|garden|local-anesthesia|sweet-and-sour-chicken|stabbed-through-space-suit|rocket-launching|suturing-own-wound|improvised-explosive-device|hydrogen|boyfriend-girlfriend-relationship|lightning|pilot|chemist|birthday|power-drill|flashlight|high-tech|videoconferencing|humor|laboratory|hypothermia|snow|public-relations|photograph|reference-to-the-fonz|camera|crater|chinese|chinese-american|treadmill|space-exploration|mission-control|compass|plutonium|hammer|mathematics|defecation|disobeying-orders|fired-from-the-job|explosive-decompression|computer-cracker|farming|commander|engineer|babe-scientist|ex-soldier|aerial-shot|survivalism|water|desert|space-travel|survivalist|space-probe|mid-air-transfer|space-station|female-astronaut|nuclear-power|male-nudity|ketchup|colonization|font-imitation|grapefruit-juice|self-injection|nudity|electronic-music-score|camaraderie|employee-dismissal|englishman-abroad|news-report|cnn-reporter|subtitled-scene|impalement|fire|trafalgar-square-london|latin-american|e-mail|helmet|german|reference-to-abba|boxer-briefs|male-underwear|montage|times-square-manhattan-new-york-city|london-england|beijing-china|pasadena-california|two-word-title
tt1661199,fairy-godmother|dance|fairy-tale|pumpkin|dress|love|princess|singing|glass-slipper|remake|female-protagonist|transformation|royal-ball|death-of-mother|prince|duke|king|attic|servant|kindness|magic|hope|lizard|garden|hunting|party|widow|live-action-remake|17th-century|france|female-lead|horseback-riding|forgiveness|held-captive|painting|horse-and-carriage|secret-garden|forest|mouse|sister-sister-relationship|father-daughter-relationship|mother-daughter-relationship|young-version-of-character|character-repeating-someone-else's-dialogue|voice-over-narration|one-word-title|oppression|death-of-father|character-name-in-title|goose|cat|forename-as-title|stepsister-stepsister-relationship|stepmother-stepdaughter-relationship|title-spoken-by-character
tt2379713,spy|espionage|sequel|bomb|terrorist|surveillance|boat-chase|sahara-desert|betrayal|ambiguous-ending|premarital-sex|adopted-brother|secret-society|action-hero|kidnapping|official-james-bond-series|widow|damsel-in-distress|ring|sinister|assassin|fear|tracking-device|parade|mission|blood|escape|death|fight|car|kiss|gun|needle|latex-gloves|happy-ending|visionary|aston-martin|mask|day-of-the-dead|scene-of-the-crime|quitting-a-job|chaos|unsubtitled-foreign-language|villain-arrested|fake-identity|bag-over-head|gadgetry|arrest|bridge|armored-car|thrown-through-a-windshield|white-suit|tragic-past|orphan|chauffeur|butler|secret-lair|satellite|knocked-out-with-a-gun-butt|pistol-whip|knocked-out|survival|face-slap|one-against-many|hypodermic-needle|injection|barn|good-versus-evil|cable-car|secret-past|snowmobile|airplane-accident|airplane|father-daughter-estrangement|bartender|suicide|returning-character-killed-off|mountain|snow|forest|woods|cabin-in-the-woods|burn-victim|car-set-on-fire|sadism|sadist|villain-not-really-dead-cliche|chess|laptop|parachute|ejection-seat|car-in-water|storm-drain|overturning-car|blockbuster|head-butt|knife-fight|news-report|psychopath|interview|brutality|reference-to-mickey-mouse|wisecrack-humor|intrigue|tattoo|impostor|seduction|mansion|terminal-illness|voyeurism|voyeur|fake-passport|sociopath|paranoia|boat|hummer|disarming-someone|x-rayed-skeleton|nanotechnology|text-messaging|e-mail|black-comedy|secretary|shooting-range|abandoned-hotel|abandoned-building|subterranean|safe-house|drunkenness|north-africa|desert|train|photograph|map|videotape|rat|cat|lizard|hidden-room|hidden-door|sunglasses|motorcycle|breaking-a-bottle-over-someone's-head|heavy-rain|restaurant|bar|vintage-car|apartment|female-doctor|psychologist|fire|person-on-fire|disfigurement|scar|eye-gouging|strangulation|neck-breaking|jumping-from-height|falling-from-height|thrown-from-height|helicopter-crash|helicopter-pilot|helicopter|near-death-experience|collapsing-building|assassination|big-ben-london|tension|corrupt-official|corrupt-politician|politician|infiltration|conspiracy|subtitled-scene|silencer|lasersight|rooftop|elevator|dancing|hotel|aerial-shot|long-take|masked-man|festival|timebomb|strapped-to-a-bomb|bound-and-gagged|tied-to-a-chair|faked-death|presumed-dead|mexico-city-mexico|austria|flare-gun|rome-italy|tokyo-japan|london-england|englishman-abroad|secret-mission|undercover-agent|undercover|rogue-agent|psychological-torture|torture|criminal-mastermind|evil-man|media-coverage|newspaper-headline|world-domination|terrorism|terrorist-plot|terrorist-group|criminal-organization|moral-dilemma|race-against-time|computer-hacker|computer-cracker|laboratory|secret-laboratory|ambush|wristwatch|gadget|gadget-car|car-accident|car-crash|2010s|cell-phone|assault-rifle|machine-gun|pistol|opening-action-scene|invincible-henchman|security-guard|shot-through-a-window|showdown|swat-team|henchman|mute|thug|bodyguard|assassination-attempt|secret-agent|crater|surveillance-footage|security-camera|politics|investigation|spy-hero|warrior|tough-guy|one-man-army|anti-hero|exploding-helicopter|exploding-building|explosion|exploding-car|revenge|jealousy|double-cross|deception|escape-attempt|rescue|held-at-gunpoint|hostage|murder|violence|beaten-to-death|beating|stealing-a-car|hand-to-hand-combat|mixed-martial-arts|martial-arts|brawl|fistfight|punched-in-the-chest|punched-in-the-face|shootout|gunfight|foot-chase|chase|car-chase|threatened-with-a-knife|knife|shot-to-death|shot-in-the-shoulder|shot-in-the-back|shot-in-the-chest|shot-in-the-head|british-intelligence|british-secret-service|bond-girl|singing-in-a-car|final-showdown|final-battle|meteor|mysterious-villain|funeral|suspense|one-word-title|death-of-father|title-spoken-by-character|surprise-ending|official-bond-film|twenty-fourth-part|weapon|woman|007|tangier-morocco|silver-dress|skeleton-costume|colosseum|spectre-the-organization|reference-to-george-orwell|quartermaster|twist-ending
