IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0037536,7.4,1,Drama,1945,The Bells of St. Mary's (1945)
tt0040603,5.2,2,Drama,1945,Mom and Dad (1945)
tt0037644,6.6,3,"Biography, Crime, Drama",1945,Dillinger (1945)
tt0037604,7.5,4,"Drama, Romance",1945,The Clock (1945)
tt0037988,7.6,5,"Drama, Fantasy, Horror",1945,The Picture of Dorian Gray (1945)
tt0038109,7.6,6,"Film-Noir, Mystery, Romance",1945,Spellbound (1945)
tt0037913,8.0,7,"Crime, Drama, Film-Noir",1945,Mildred Pierce (1945)
tt0037558,8.1,8,"Drama, Romance",1945,Brief Encounter (1945)
tt0037515,7.6,9,"Crime, Drama, Mystery",1945,And Then There Were None (1945)
tt0037884,8.0,10,"Drama, Film-Noir",1945,The Lost Weekend (1945)
tt0038160,7.3,11,"Drama, War",1945,They Were Expendable (1945)
tt0038057,7.9,12,"Drama, Film-Noir, Thriller",1945,Scarlet Street (1945)
tt0037494,6.1,13,"Drama, Romance, Comedy",1945,Adventure (1945)
tt0038190,8.1,14,"Drama, Romance",1945,A Tree Grows in Brooklyn (1945)
tt0037595,7.5,15,"Comedy, Romance",1945,Christmas in Connecticut (1945)
tt0038890,8.1,16,"Drama, Thriller, War",1945,Roma città aperta (1945)
tt0037746,6.6,17,"Action, Adventure, Biography",1945,God Is My Co-Pilot (1945)
tt0037514,7.2,18,"Comedy, Fantasy, Musical",1945,Anchors Aweigh (1945)
tt0037627,6.1,19,Western,1945,Dakota (1945)
tt0038259,6.9,20,Mystery,1945,The Woman in Green (1945)
tt0037865,7.8,21,"Drama, Film-Noir, Romance",1945,Leave Her to Heaven (1945)
tt0038116,7.1,22,"Comedy, Drama, Musical",1945,State Fair (1945)
tt0037674,8.3,23,"Drama, Romance",1945,Les enfants du paradis (1945)
tt0037635,7.7,24,Horror,1945,Dead of Night (1945)
tt0037179,6.3,25,"Drama, Mystery, Thriller",1945,A Place of One's Own (1945)
tt0038363,7.2,26,"Comedy, Fantasy",1945,Blithe Spirit (1945)
tt0037932,7.2,27,"Crime, Drama, Film-Noir",1945,My Name Is Julia Ross (1945)
tt0037638,7.4,28,"Crime, Drama, Film-Noir",1945,Detour (1945)
tt0037800,7.7,29,"Drama, Romance",1945,'I Know Where I'm Going!' (1945)
tt0037035,6.5,30,"Drama, Mystery",1945,Madonna of the Seven Moons (1945)
tt0037522,6.7,31,"Drama, War",1945,Back to Bataan (1945)
tt0038235,7.3,32,"Drama, War",1945,A Walk in the Sun (1945)
tt0037824,7.6,33,"Biography, Drama, History",1945,Ivan Groznyy (1945)
tt0037549,7.4,34,"Horror, Thriller",1945,The Body Snatcher (1945)
tt0037691,7.2,35,"Crime, Film-Noir, Mystery",1945,Fallen Angel (1945)
tt0038120,7.4,36,"Biography, Drama, War",1945,Story of G.I. Joe (1945)
tt0037954,7.4,37,"Action, Adventure, Drama",1945,"Objective, Burma! (1945)"
tt0039116,6.6,38,"Comedy, Musical",1945,Ziegfeld Follies (1945)
tt0038213,7.4,39,Drama,1945,The Valley of Decision (1945)
tt0037793,5.8,40,"Fantasy, Horror, Sci-Fi",1945,House of Dracula (1945)
tt0038053,6.6,41,"Drama, Romance, Western",1945,Saratoga Trunk (1945)
tt0037671,7.6,42,"Drama, Romance",1945,The Enchanted Cottage (1945)
tt0038026,7.1,43,"Biography, Drama, Musical",1945,Rhapsody in Blue (1945)
tt0037547,6.2,44,"Drama, Romance, Thriller",1945,Blood on the Sun (1945)
tt0038107,7.3,45,Drama,1945,The Southerner (1945)
tt0037794,7.5,46,"Crime, Film-Noir, Mystery",1945,The House of Fear (1945)
tt0037761,7.5,47,"Crime, Drama, Film-Noir",1945,Hangover Square (1945)
tt0038104,6.8,48,"Biography, Drama, Music",1945,A Song to Remember (1945)
tt0037885,7.2,49,"Drama, Mystery, Romance",1945,Love Letters (1945)
tt0037711,5.2,50,"Drama, Horror, Mystery",1945,Fog Island (1945)
tt0038260,7.2,51,"Comedy, Fantasy, Musical",1945,Wonder Man (1945)
tt0153549,7.9,52,,1945,Gaon Ki Gori (1945)
tt0038008,7.2,53,"Adventure, Crime, Film-Noir",1945,Pursuit to Algiers (1945)
tt0037611,7.1,54,"Drama, Film-Noir, Mystery",1945,Conflict (1945)
tt0038108,6.4,55,"Adventure, Drama, Romance",1945,The Spanish Main (1945)
tt0037820,6.6,56,"Drama, Horror, Mystery",1945,Isle of the Dead (1945)
tt0038238,7.5,57,"Drama, Romance, War",1945,The Way to the Stars (1945)
tt0037508,6.6,58,"Comedy, Romance, Western",1945,Along Came Jones (1945)
